date,time,p_s
01/01/2011,00:10,63641.473
01/01/2011,00:20,64288.328
01/01/2011,00:30,58977.195
01/01/2011,00:40,61824.59
01/01/2011,00:50,61963.477
01/01/2011,01:00,59448.336
01/01/2011,01:10,60789.82
01/01/2011,01:20,67358.039
01/01/2011,01:30,66065.742
01/01/2011,01:40,65230.273
01/01/2011,01:50,64277.926
01/01/2011,02:00,61240.094
01/01/2011,02:10,56259.305
01/01/2011,02:20,55641.563
01/01/2011,02:30,53950.848
01/01/2011,02:40,49019.746
01/01/2011,02:50,51773.25
01/01/2011,03:00,54926.969
01/01/2011,03:10,56775.098
01/01/2011,03:20,47843.535
01/01/2011,03:30,48359.34
01/01/2011,03:40,39526.379
01/01/2011,03:50,35972.719
01/01/2011,04:00,41337.559
01/01/2011,04:10,41614.863
01/01/2011,04:20,38531.391
01/01/2011,04:30,33836.086
01/01/2011,04:40,33152.199
01/01/2011,04:50,37742.473
01/01/2011,05:00,34786.75
01/01/2011,05:10,31411.092
01/01/2011,05:20,33873.77
01/01/2011,05:30,34991.813
01/01/2011,05:40,35733.301
01/01/2011,05:50,35471.406
01/01/2011,06:00,38605.133
01/01/2011,06:10,34318.738
01/01/2011,06:20,33258.832
01/01/2011,06:30,32488.545
01/01/2011,06:40,33543.824
01/01/2011,06:50,39301.684
01/01/2011,07:00,34447.035
01/01/2011,07:10,31803.129
01/01/2011,07:20,33478.066
01/01/2011,07:30,35013.805
01/01/2011,07:40,33300.199
01/01/2011,07:50,41551.203
01/01/2011,08:00,41514.379
01/01/2011,08:10,42142.988
01/01/2011,08:20,40946.738
01/01/2011,08:30,43753.758
01/01/2011,08:40,40574.727
01/01/2011,08:50,39465.207
01/01/2011,09:00,38170.438
01/01/2011,09:10,46732.68
01/01/2011,09:20,42458.055
01/01/2011,09:30,49148.238
01/01/2011,09:40,49978.523
01/01/2011,09:50,60669.027
01/01/2011,10:00,55559.043
01/01/2011,10:10,72191.961
01/01/2011,10:20,53068.258
01/01/2011,10:30,52956.191
01/01/2011,10:40,49703.664
01/01/2011,10:50,55198.633
01/01/2011,11:00,60014.633
01/01/2011,11:10,58150.188
01/01/2011,11:20,59644.191
01/01/2011,11:30,54865.922
01/01/2011,11:40,58969.527
01/01/2011,11:50,62525.754
01/01/2011,12:00,58568.348
01/01/2011,12:10,58730.629
01/01/2011,12:20,77314.594
01/01/2011,12:30,61678.766
01/01/2011,12:40,66743.977
01/01/2011,12:50,71066.852
01/01/2011,13:00,76827.008
01/01/2011,13:10,74910.406
01/01/2011,13:20,67899.625
01/01/2011,13:30,57010.113
01/01/2011,13:40,56609.301
01/01/2011,13:50,54199.523
01/01/2011,14:00,56274.32
01/01/2011,14:10,58748.41
01/01/2011,14:20,64638.223
01/01/2011,14:30,62780.258
01/01/2011,14:40,61953.617
01/01/2011,14:50,57895.918
