date,time,cloudcoverage,winddirection,windspeed,airtemp,airpressure,sunshineduration,precipitation
01/06/2011,00:00,8,31,22,97,10046,0,0
01/06/2011,01:00,8,34,30,98,10050,0,0
01/06/2011,02:00,8,33,28,97,10056,0,0
01/06/2011,03:00,8,33,36,94,10060,0,0
01/06/2011,04:00,8,34,30,94,10068,0,0
01/06/2011,05:00,8,35,30,96,10074,0,0
01/06/2011,06:00,8,35,29,102,10078,0,0
01/06/2011,07:00,7,35,33,110,10084,0,0
01/06/2011,08:00,7,1,41,117,10088,1,0
01/06/2011,09:00,7,2,40,130,10090,31,0
01/06/2011,10:00,7,36,49,138,10093,36,0
01/06/2011,11:00,6,2,48,150,10093,15,0
01/06/2011,12:00,6,36,44,167,10095,51,0
01/06/2011,13:00,6,36,42,169,10095,49,0
01/06/2011,14:00,6,1,39,177,10092,59,0
01/06/2011,15:00,6,1,39,180,10093,51,0
01/06/2011,16:00,1,35,40,174,10093,49,0
01/06/2011,17:00,0,35,41,173,10094,60,0
01/06/2011,18:00,0,1,31,170,10098,60,0
01/06/2011,19:00,0,2,25,157,10105,60,0
01/06/2011,20:00,0,4,14,107,10111,10,0
01/06/2011,21:00,0,2,12,95,10115,0,0
01/06/2011,22:00,0,4,17,98,10118,0,0
01/06/2011,23:00,0,3,12,96,10122,0,0
02/06/2011,00:00,0,4,11,82,10124,0,0
02/06/2011,01:00,0,20,15,75,10124,0,0
02/06/2011,02:00,0,16,15,62,10126,0,0
02/06/2011,03:00,0,1,10,61,10128,0,0
02/06/2011,04:00,2,12,7,62,10133,4,0
02/06/2011,05:00,2,8,8,87,10136,60,0
02/06/2011,06:00,4,28,9,115,10138,60,0
02/06/2011,07:00,4,8,36,149,10139,60,0
02/06/2011,08:00,5,8,27,155,10142,60,0
02/06/2011,09:00,5,6,36,169,10145,60,0
02/06/2011,10:00,4,4,37,183,10142,60,0
02/06/2011,11:00,3,1,41,198,10140,60,0
02/06/2011,12:00,3,6,40,200,10136,60,0
02/06/2011,13:00,2,5,43,213,10133,60,0
02/06/2011,14:00,2,3,42,213,10129,60,0
02/06/2011,15:00,3,2,50,215,10129,60,0
02/06/2011,16:00,0,6,51,218,10127,60,0
02/06/2011,17:00,5,5,50,208,10125,60,0
02/06/2011,18:00,0,5,38,204,10125,60,0
02/06/2011,19:00,0,3,17,186,10125,60,0
02/06/2011,20:00,0,10,9,120,10130,11,0
02/06/2011,21:00,0,4,13,107,10134,0,0
02/06/2011,22:00,2,3,24,93,10134,0,0
02/06/2011,23:00,0,4,24,104,10136,0,0
03/06/2011,00:00,0,5,20,103,10137,0,0
03/06/2011,01:00,0,3,32,123,10133,0,0
03/06/2011,02:00,0,6,40,133,10132,0,0
03/06/2011,03:00,0,7,26,113,10131,0,0
03/06/2011,04:00,1,8,24,110,10129,3,0
03/06/2011,05:00,1,5,31,150,10129,60,0
03/06/2011,06:00,1,6,50,164,10128,60,0
03/06/2011,07:00,2,7,69,172,10129,60,0
03/06/2011,08:00,2,5,53,193,10127,60,0
03/06/2011,09:00,2,4,53,202,10124,60,0
03/06/2011,10:00,1,4,57,213,10121,60,0
03/06/2011,11:00,2,5,59,221,10117,60,0
03/06/2011,12:00,3,4,56,233,10112,60,0
03/06/2011,13:00,4,6,61,240,10105,60,0
03/06/2011,14:00,4,4,58,229,10097,26,0
03/06/2011,15:00,3,6,55,247,10091,57,0
03/06/2011,16:00,0,4,58,244,10083,60,0
03/06/2011,17:00,0,6,56,239,10074,60,0
03/06/2011,18:00,0,5,47,235,10068,60,0
03/06/2011,19:00,1,4,35,221,10068,60,0
03/06/2011,20:00,0,5,19,199,10066,9,0
03/06/2011,21:00,0,7,37,201,10064,0,0
03/06/2011,22:00,0,8,42,197,10062,0,0
03/06/2011,23:00,0,34,17,184,10061,0,0
04/06/2011,00:00,0,35,19,187,10056,0,0
04/06/2011,01:00,0,1,23,185,10050,0,0
04/06/2011,02:00,0,3,30,185,10044,0,0
04/06/2011,03:00,0,2,20,168,10043,0,0
04/06/2011,04:00,1,3,21,171,10041,3,0
04/06/2011,05:00,1,36,17,188,10038,60,0
04/06/2011,06:00,1,8,46,205,10036,60,0
04/06/2011,07:00,1,7,44,222,10034,60,0
04/06/2011,08:00,1,8,40,232,10032,60,0
04/06/2011,09:00,2,6,57,243,10027,60,0
04/06/2011,10:00,2,5,52,261,10023,60,0
04/06/2011,11:00,3,7,53,266,10015,60,0
04/06/2011,12:00,4,5,49,270,10008,60,0
04/06/2011,13:00,4,3,55,269,10000,60,0
04/06/2011,14:00,5,4,57,271,9993,60,0
04/06/2011,15:00,5,4,52,271,9983,60,0
04/06/2011,16:00,0,4,51,269,9975,60,0
04/06/2011,17:00,0,4,51,267,9968,60,0
