date,time,p_1,p_2,p_3,p_t
01/06/2011,00:00,-2.3,-0.4,-0.3,2.5
01/06/2011,00:15,-1.7,-0.4,-0.6,1.7
01/06/2011,00:30,-1.1,-1,-0.6,2.6
01/06/2011,00:45,-1,-0.6,-0.3,3.1
01/06/2011,01:00,-1.2,-0.6,-0.2,3.1
01/06/2011,01:15,-1.4,-1.1,-0.9,0.4
01/06/2011,01:30,-3,-1.6,-1.4,-2.8
01/06/2011,01:45,-2.8,-2.1,-1.5,-2.9
01/06/2011,02:00,-2.3,-1.8,-1.6,-2.6
01/06/2011,02:15,-2.1,-1.9,-1.3,-1.7
01/06/2011,02:30,-2.1,-2,-1.2,-1.9
01/06/2011,02:45,-1.8,-1.1,-1,-0.3
01/06/2011,03:00,-1.4,-0.8,-0.5,1
01/06/2011,03:15,-1.1,-0.6,-0.5,1.5
01/06/2011,03:30,-1.1,-0.8,-0.6,0.9
01/06/2011,03:45,-1.3,-1.1,-0.6,0.8
01/06/2011,04:00,-1.3,-1.3,-0.8,0.2
01/06/2011,04:15,-1.4,-1,-0.5,1.7
01/06/2011,04:30,-1.6,-0.6,-0.6,1.4
01/06/2011,04:45,-1.5,-1,-0.6,1.8
01/06/2011,05:00,-1.5,-1.1,-0.8,1.8
01/06/2011,05:15,-1.6,-1,-0.5,2
01/06/2011,05:30,-1.2,-1.1,-0.9,2.5
01/06/2011,05:45,-1.1,-0.7,-0.2,4.1
01/06/2011,06:00,-0.8,-0.7,-0.2,4.8
01/06/2011,06:15,-1.2,-1,-0.4,4
01/06/2011,06:30,-1.1,-1.1,-0.4,4
01/06/2011,06:45,-0.8,-1,-0.4,5.2
01/06/2011,07:00,-0.4,-0.8,-0.3,6.6
01/06/2011,07:15,-0.3,-0.6,-0.2,7.1
01/06/2011,07:30,-0.7,-0.7,-0.4,7
01/06/2011,07:45,-0.7,-0.6,-0.2,7.5
01/06/2011,08:00,-0.3,-0.4,-0.1,8.5
01/06/2011,08:15,-0.4,-0.4,-0.1,8.7
01/06/2011,08:30,-0.5,-0.6,-0.2,7.9
01/06/2011,08:45,-1.1,-0.7,-0.4,6.9
01/06/2011,09:00,-1,-0.9,-0.4,6.6
01/06/2011,09:15,-0.7,-1,-0.6,7.4
01/06/2011,09:30,-0.7,-0.6,-0.3,7.9
01/06/2011,09:45,-1.2,-0.9,-0.3,6.7
01/06/2011,10:00,-1,-0.9,-0.5,6.7
01/06/2011,10:15,-1.2,-0.6,-0.4,6.5
01/06/2011,10:30,-1.2,-0.8,-0.2,6.5
01/06/2011,10:45,-1.2,-0.9,-0.3,5.7
01/06/2011,11:00,-1.2,-0.9,-0.4,5.6
01/06/2011,11:15,-0.9,-1.1,-0.3,5.1
01/06/2011,11:30,-1,-0.7,-0.3,5.4
01/06/2011,11:45,-0.7,-0.6,-0.3,6.5
01/06/2011,12:00,-0.6,-0.5,-0.2,6.5
01/06/2011,12:15,-0.7,-0.6,-0.1,6.4
01/06/2011,12:30,-1.2,-0.6,-0.4,5.7
01/06/2011,12:45,-1.4,-0.8,-0.2,5.9
01/06/2011,13:00,-0.4,-0.5,-0.1,7.7
01/06/2011,13:15,-0.7,-0.9,-0.4,5.8
01/06/2011,13:30,-0.7,-0.6,-0.1,6.4
01/06/2011,13:45,-0.7,-0.6,-0.2,7.2
01/06/2011,14:00,-0.7,-0.6,-0.3,6.1
01/06/2011,14:15,-0.6,-0.5,-0.1,6.3
01/06/2011,14:30,-0.3,-0.4,-0.1,6.1
01/06/2011,14:45,-0.3,-0.7,-0.1,5.8
01/06/2011,15:00,-0.7,-0.3,-0.4,5.3
01/06/2011,15:15,-0.5,-0.4,-0.1,5.9
01/06/2011,15:30,-0.2,-0.4,-0.2,6.3
01/06/2011,15:45,-0.9,-0.1,-0.1,5.4
01/06/2011,16:00,-0.4,-0.5,0.1,5.9
01/06/2011,16:15,-0.7,-0.2,0,5.5
01/06/2011,16:30,-0.7,-0.8,-0.1,6.3
01/06/2011,16:45,-0.5,-0.8,-0.3,5.9
01/06/2011,17:00,-0.5,-0.9,-0.2,6.2
01/06/2011,17:15,-0.8,-0.6,-0.1,4.6
01/06/2011,17:30,-0.7,-0.6,-0.3,6.4
01/06/2011,17:45,-0.9,-0.3,-0.2,6.7
01/06/2011,18:00,-1,-0.6,-0.1,6.4
01/06/2011,18:15,-0.5,-0.4,-0.1,7.6
01/06/2011,18:30,-0.8,-1.1,-0.2,5.5
01/06/2011,18:45,-1.2,-0.7,-0.3,6
